"","variavel","nivel","cod_munic_ibge_2_fam_eq","ano_atual_familia","n"
"151","cod_abaste_agua_domic_fam_eq","Não informado",24,2001,71180
"152","cod_abaste_agua_domic_fam_eq","Não informado",24,2002,2
"153","cod_abaste_agua_domic_fam_eq","Não informado",24,2003,972
"154","cod_abaste_agua_domic_fam_eq","Não informado",24,2004,951
"155","cod_abaste_agua_domic_fam_eq","Não informado",24,2005,10476
"156","cod_abaste_agua_domic_fam_eq","Não informado",24,2006,52869
"157","cod_abaste_agua_domic_fam_eq","Não informado",24,2007,6016
"158","cod_abaste_agua_domic_fam_eq","Não informado",24,2008,164
"159","cod_abaste_agua_domic_fam_eq","Não informado",24,2009,38
"160","cod_abaste_agua_domic_fam_eq","Não informado",24,2010,13
"161","cod_abaste_agua_domic_fam_eq","Não informado",24,2011,2359
"162","cod_abaste_agua_domic_fam_eq","Não informado",24,2012,4167
"163","cod_abaste_agua_domic_fam_eq","Não informado",24,2013,4845
"164","cod_abaste_agua_domic_fam_eq","Não informado",24,2014,4710
"165","cod_abaste_agua_domic_fam_eq","Não informado",24,2015,2624
"166","cod_abaste_agua_domic_fam_eq","Não informado",25,2001,80255
"167","cod_abaste_agua_domic_fam_eq","Não informado",25,2002,4
"168","cod_abaste_agua_domic_fam_eq","Não informado",25,2003,2148
"169","cod_abaste_agua_domic_fam_eq","Não informado",25,2004,3028
"170","cod_abaste_agua_domic_fam_eq","Não informado",25,2005,9854
"171","cod_abaste_agua_domic_fam_eq","Não informado",25,2006,77379
"172","cod_abaste_agua_domic_fam_eq","Não informado",25,2007,8647
"173","cod_abaste_agua_domic_fam_eq","Não informado",25,2008,284
"174","cod_abaste_agua_domic_fam_eq","Não informado",25,2009,52
"175","cod_abaste_agua_domic_fam_eq","Não informado",25,2010,20
"176","cod_abaste_agua_domic_fam_eq","Não informado",25,2011,2632
"177","cod_abaste_agua_domic_fam_eq","Não informado",25,2012,5207
"178","cod_abaste_agua_domic_fam_eq","Não informado",25,2013,5586
"179","cod_abaste_agua_domic_fam_eq","Não informado",25,2014,5682
"180","cod_abaste_agua_domic_fam_eq","Não informado",25,2015,3564
"181","cod_abaste_agua_domic_fam_eq","Não informado",26,2001,163111
"182","cod_abaste_agua_domic_fam_eq","Não informado",26,2002,7008
"183","cod_abaste_agua_domic_fam_eq","Não informado",26,2003,20907
"184","cod_abaste_agua_domic_fam_eq","Não informado",26,2004,5471
"185","cod_abaste_agua_domic_fam_eq","Não informado",26,2005,17707
"186","cod_abaste_agua_domic_fam_eq","Não informado",26,2006,114016
"187","cod_abaste_agua_domic_fam_eq","Não informado",26,2007,17862
"188","cod_abaste_agua_domic_fam_eq","Não informado",26,2008,620
"189","cod_abaste_agua_domic_fam_eq","Não informado",26,2009,248
"190","cod_abaste_agua_domic_fam_eq","Não informado",26,2010,72
"191","cod_abaste_agua_domic_fam_eq","Não informado",26,2011,2966
"192","cod_abaste_agua_domic_fam_eq","Não informado",26,2012,6228
"193","cod_abaste_agua_domic_fam_eq","Não informado",26,2013,3407
"194","cod_abaste_agua_domic_fam_eq","Não informado",26,2014,4846
"195","cod_abaste_agua_domic_fam_eq","Não informado",26,2015,2338
"196","cod_abaste_agua_domic_fam_eq","Não informado",27,2001,80416
"197","cod_abaste_agua_domic_fam_eq","Não informado",27,2002,4
"198","cod_abaste_agua_domic_fam_eq","Não informado",27,2003,940
"199","cod_abaste_agua_domic_fam_eq","Não informado",27,2004,1815
"200","cod_abaste_agua_domic_fam_eq","Não informado",27,2005,12227
"201","cod_abaste_agua_domic_fam_eq","Não informado",27,2006,55111
"202","cod_abaste_agua_domic_fam_eq","Não informado",27,2007,7737
"203","cod_abaste_agua_domic_fam_eq","Não informado",27,2008,352
"204","cod_abaste_agua_domic_fam_eq","Não informado",27,2009,69
"205","cod_abaste_agua_domic_fam_eq","Não informado",27,2010,16
"206","cod_abaste_agua_domic_fam_eq","Não informado",27,2011,2263
"207","cod_abaste_agua_domic_fam_eq","Não informado",27,2012,6837
"208","cod_abaste_agua_domic_fam_eq","Não informado",27,2013,4440
"209","cod_abaste_agua_domic_fam_eq","Não informado",27,2014,3185
"210","cod_abaste_agua_domic_fam_eq","Não informado",27,2015,2823
"211","cod_abaste_agua_domic_fam_eq","Não informado",28,2001,29882
"212","cod_abaste_agua_domic_fam_eq","Não informado",28,2002,1
"213","cod_abaste_agua_domic_fam_eq","Não informado",28,2003,980
"214","cod_abaste_agua_domic_fam_eq","Não informado",28,2004,873
"215","cod_abaste_agua_domic_fam_eq","Não informado",28,2005,5152
"216","cod_abaste_agua_domic_fam_eq","Não informado",28,2006,22739
"217","cod_abaste_agua_domic_fam_eq","Não informado",28,2007,3149
"218","cod_abaste_agua_domic_fam_eq","Não informado",28,2008,166
"219","cod_abaste_agua_domic_fam_eq","Não informado",28,2009,46
"220","cod_abaste_agua_domic_fam_eq","Não informado",28,2010,16
"221","cod_abaste_agua_domic_fam_eq","Não informado",28,2011,4014
"222","cod_abaste_agua_domic_fam_eq","Não informado",28,2012,4090
"223","cod_abaste_agua_domic_fam_eq","Não informado",28,2013,3219
"224","cod_abaste_agua_domic_fam_eq","Não informado",28,2014,2441
"225","cod_abaste_agua_domic_fam_eq","Não informado",28,2015,1558
"226","cod_abaste_agua_domic_fam_eq","Não informado",29,2001,438649
"227","cod_abaste_agua_domic_fam_eq","Não informado",29,2002,86
"228","cod_abaste_agua_domic_fam_eq","Não informado",29,2003,6397
"229","cod_abaste_agua_domic_fam_eq","Não informado",29,2004,11585
"230","cod_abaste_agua_domic_fam_eq","Não informado",29,2005,43336
"231","cod_abaste_agua_domic_fam_eq","Não informado",29,2006,296301
"232","cod_abaste_agua_domic_fam_eq","Não informado",29,2007,36814
"233","cod_abaste_agua_domic_fam_eq","Não informado",29,2008,1380
"234","cod_abaste_agua_domic_fam_eq","Não informado",29,2009,493
"235","cod_abaste_agua_domic_fam_eq","Não informado",29,2010,264
"236","cod_abaste_agua_domic_fam_eq","Não informado",29,2011,23010
"237","cod_abaste_agua_domic_fam_eq","Não informado",29,2012,41634
"238","cod_abaste_agua_domic_fam_eq","Não informado",29,2013,35165
"239","cod_abaste_agua_domic_fam_eq","Não informado",29,2014,29953
"240","cod_abaste_agua_domic_fam_eq","Não informado",29,2015,21378
"241","cod_abaste_agua_domic_fam_eq","Não informado",31,2001,260085
"242","cod_abaste_agua_domic_fam_eq","Não informado",31,2002,493
"243","cod_abaste_agua_domic_fam_eq","Não informado",31,2003,6912
"244","cod_abaste_agua_domic_fam_eq","Não informado",31,2004,14050
"245","cod_abaste_agua_domic_fam_eq","Não informado",31,2005,26276
"246","cod_abaste_agua_domic_fam_eq","Não informado",31,2006,159766
"247","cod_abaste_agua_domic_fam_eq","Não informado",31,2007,27597
"248","cod_abaste_agua_domic_fam_eq","Não informado",31,2008,1232
"249","cod_abaste_agua_domic_fam_eq","Não informado",31,2009,490
"250","cod_abaste_agua_domic_fam_eq","Não informado",31,2010,256
"251","cod_abaste_agua_domic_fam_eq","Não informado",31,2011,19681
"252","cod_abaste_agua_domic_fam_eq","Não informado",31,2012,42463
"253","cod_abaste_agua_domic_fam_eq","Não informado",31,2013,31306
"254","cod_abaste_agua_domic_fam_eq","Não informado",31,2014,32704
"255","cod_abaste_agua_domic_fam_eq","Não informado",31,2015,22914
"256","cod_abaste_agua_domic_fam_eq","Não informado",32,2001,76675
"257","cod_abaste_agua_domic_fam_eq","Não informado",32,2002,8
"258","cod_abaste_agua_domic_fam_eq","Não informado",32,2003,977
"259","cod_abaste_agua_domic_fam_eq","Não informado",32,2004,4710
"260","cod_abaste_agua_domic_fam_eq","Não informado",32,2005,7252
"261","cod_abaste_agua_domic_fam_eq","Não informado",32,2006,16709
"262","cod_abaste_agua_domic_fam_eq","Não informado",32,2007,5390
"263","cod_abaste_agua_domic_fam_eq","Não informado",32,2008,304
"264","cod_abaste_agua_domic_fam_eq","Não informado",32,2009,89
"265","cod_abaste_agua_domic_fam_eq","Não informado",32,2010,52
"266","cod_abaste_agua_domic_fam_eq","Não informado",32,2011,2771
"267","cod_abaste_agua_domic_fam_eq","Não informado",32,2012,3549
"268","cod_abaste_agua_domic_fam_eq","Não informado",32,2013,1083
"269","cod_abaste_agua_domic_fam_eq","Não informado",32,2014,861
"270","cod_abaste_agua_domic_fam_eq","Não informado",32,2015,601
"271","cod_abaste_agua_domic_fam_eq","Não informado",33,2001,177810
"272","cod_abaste_agua_domic_fam_eq","Não informado",33,2002,37
"273","cod_abaste_agua_domic_fam_eq","Não informado",33,2003,2103
"274","cod_abaste_agua_domic_fam_eq","Não informado",33,2004,4888
"275","cod_abaste_agua_domic_fam_eq","Não informado",33,2005,2709
"276","cod_abaste_agua_domic_fam_eq","Não informado",33,2006,36510
"277","cod_abaste_agua_domic_fam_eq","Não informado",33,2007,9804
"278","cod_abaste_agua_domic_fam_eq","Não informado",33,2008,2056
"279","cod_abaste_agua_domic_fam_eq","Não informado",33,2009,1436
"280","cod_abaste_agua_domic_fam_eq","Não informado",33,2010,1424
"281","cod_abaste_agua_domic_fam_eq","Não informado",33,2011,12578
"282","cod_abaste_agua_domic_fam_eq","Não informado",33,2012,34390
"283","cod_abaste_agua_domic_fam_eq","Não informado",33,2013,24083
"284","cod_abaste_agua_domic_fam_eq","Não informado",33,2014,23753
"285","cod_abaste_agua_domic_fam_eq","Não informado",33,2015,16569
"286","cod_abaste_agua_domic_fam_eq","Não informado",35,2001,239877
"287","cod_abaste_agua_domic_fam_eq","Não informado",35,2002,1214
"288","cod_abaste_agua_domic_fam_eq","Não informado",35,2003,9646
"289","cod_abaste_agua_domic_fam_eq","Não informado",35,2004,10500
"290","cod_abaste_agua_domic_fam_eq","Não informado",35,2005,22606
"291","cod_abaste_agua_domic_fam_eq","Não informado",35,2006,91236
"292","cod_abaste_agua_domic_fam_eq","Não informado",35,2007,21885
"293","cod_abaste_agua_domic_fam_eq","Não informado",35,2008,845
"294","cod_abaste_agua_domic_fam_eq","Não informado",35,2009,357
"295","cod_abaste_agua_domic_fam_eq","Não informado",35,2010,193
"296","cod_abaste_agua_domic_fam_eq","Não informado",35,2011,9215
"297","cod_abaste_agua_domic_fam_eq","Não informado",35,2012,24059
"298","cod_abaste_agua_domic_fam_eq","Não informado",35,2013,19813
"299","cod_abaste_agua_domic_fam_eq","Não informado",35,2014,21203
"300","cod_abaste_agua_domic_fam_eq","Não informado",35,2015,18395
"301","cod_abaste_agua_domic_fam_eq","Não informado",41,2001,169748
"302","cod_abaste_agua_domic_fam_eq","Não informado",41,2002,5
"303","cod_abaste_agua_domic_fam_eq","Não informado",41,2003,11060
"304","cod_abaste_agua_domic_fam_eq","Não informado",41,2004,6618
"305","cod_abaste_agua_domic_fam_eq","Não informado",41,2005,14628
"306","cod_abaste_agua_domic_fam_eq","Não informado",41,2006,52176
"307","cod_abaste_agua_domic_fam_eq","Não informado",41,2007,12706
"308","cod_abaste_agua_domic_fam_eq","Não informado",41,2008,753
"309","cod_abaste_agua_domic_fam_eq","Não informado",41,2009,542
"310","cod_abaste_agua_domic_fam_eq","Não informado",41,2010,183
"311","cod_abaste_agua_domic_fam_eq","Não informado",41,2011,5508
"312","cod_abaste_agua_domic_fam_eq","Não informado",41,2012,9862
"313","cod_abaste_agua_domic_fam_eq","Não informado",41,2013,10440
"314","cod_abaste_agua_domic_fam_eq","Não informado",41,2014,10100
"315","cod_abaste_agua_domic_fam_eq","Não informado",41,2015,6856
"316","cod_abaste_agua_domic_fam_eq","Não informado",42,2001,59219
"317","cod_abaste_agua_domic_fam_eq","Não informado",42,2002,458
"318","cod_abaste_agua_domic_fam_eq","Não informado",42,2003,2008
"319","cod_abaste_agua_domic_fam_eq","Não informado",42,2004,6294
"320","cod_abaste_agua_domic_fam_eq","Não informado",42,2005,9159
"321","cod_abaste_agua_domic_fam_eq","Não informado",42,2006,23197
"322","cod_abaste_agua_domic_fam_eq","Não informado",42,2007,4227
"323","cod_abaste_agua_domic_fam_eq","Não informado",42,2008,258
"324","cod_abaste_agua_domic_fam_eq","Não informado",42,2009,87
"325","cod_abaste_agua_domic_fam_eq","Não informado",42,2010,48
"326","cod_abaste_agua_domic_fam_eq","Não informado",42,2011,3010
"327","cod_abaste_agua_domic_fam_eq","Não informado",42,2012,4097
"328","cod_abaste_agua_domic_fam_eq","Não informado",42,2013,3495
"329","cod_abaste_agua_domic_fam_eq","Não informado",42,2014,2845
"330","cod_abaste_agua_domic_fam_eq","Não informado",42,2015,1719
"331","cod_abaste_agua_domic_fam_eq","Não informado",43,2001,127010
"332","cod_abaste_agua_domic_fam_eq","Não informado",43,2002,124
"333","cod_abaste_agua_domic_fam_eq","Não informado",43,2003,4888
"334","cod_abaste_agua_domic_fam_eq","Não informado",43,2004,9649
"335","cod_abaste_agua_domic_fam_eq","Não informado",43,2005,13749
"336","cod_abaste_agua_domic_fam_eq","Não informado",43,2006,46614
"337","cod_abaste_agua_domic_fam_eq","Não informado",43,2007,7812
"338","cod_abaste_agua_domic_fam_eq","Não informado",43,2008,342
"339","cod_abaste_agua_domic_fam_eq","Não informado",43,2009,130
"340","cod_abaste_agua_domic_fam_eq","Não informado",43,2010,86
"341","cod_abaste_agua_domic_fam_eq","Não informado",43,2011,11037
"342","cod_abaste_agua_domic_fam_eq","Não informado",43,2012,20179
"343","cod_abaste_agua_domic_fam_eq","Não informado",43,2013,15708
"344","cod_abaste_agua_domic_fam_eq","Não informado",43,2014,11029
"345","cod_abaste_agua_domic_fam_eq","Não informado",43,2015,6473
"346","cod_abaste_agua_domic_fam_eq","Não informado",50,2001,24934
"347","cod_abaste_agua_domic_fam_eq","Não informado",50,2002,1
"348","cod_abaste_agua_domic_fam_eq","Não informado",50,2003,979
"349","cod_abaste_agua_domic_fam_eq","Não informado",50,2004,1772
"350","cod_abaste_agua_domic_fam_eq","Não informado",50,2005,2064
"351","cod_abaste_agua_domic_fam_eq","Não informado",50,2006,10358
"352","cod_abaste_agua_domic_fam_eq","Não informado",50,2007,3937
"353","cod_abaste_agua_domic_fam_eq","Não informado",50,2008,201
"354","cod_abaste_agua_domic_fam_eq","Não informado",50,2009,93
"355","cod_abaste_agua_domic_fam_eq","Não informado",50,2010,81
"356","cod_abaste_agua_domic_fam_eq","Não informado",50,2011,1593
"357","cod_abaste_agua_domic_fam_eq","Não informado",50,2012,3955
"358","cod_abaste_agua_domic_fam_eq","Não informado",50,2013,7677
"359","cod_abaste_agua_domic_fam_eq","Não informado",50,2014,5170
"360","cod_abaste_agua_domic_fam_eq","Não informado",50,2015,2979
"361","cod_abaste_agua_domic_fam_eq","Não informado",51,2001,52812
"362","cod_abaste_agua_domic_fam_eq","Não informado",51,2002,3
"363","cod_abaste_agua_domic_fam_eq","Não informado",51,2003,1306
"364","cod_abaste_agua_domic_fam_eq","Não informado",51,2004,4150
"365","cod_abaste_agua_domic_fam_eq","Não informado",51,2005,4378
"366","cod_abaste_agua_domic_fam_eq","Não informado",51,2006,10898
"367","cod_abaste_agua_domic_fam_eq","Não informado",51,2007,4207
"368","cod_abaste_agua_domic_fam_eq","Não informado",51,2008,204
"369","cod_abaste_agua_domic_fam_eq","Não informado",51,2009,47
"370","cod_abaste_agua_domic_fam_eq","Não informado",51,2010,26
"371","cod_abaste_agua_domic_fam_eq","Não informado",51,2011,5319
"372","cod_abaste_agua_domic_fam_eq","Não informado",51,2012,14958
"373","cod_abaste_agua_domic_fam_eq","Não informado",51,2013,15648
"374","cod_abaste_agua_domic_fam_eq","Não informado",51,2014,10722
"375","cod_abaste_agua_domic_fam_eq","Não informado",51,2015,6748
"376","cod_abaste_agua_domic_fam_eq","Não informado",52,2001,85260
"377","cod_abaste_agua_domic_fam_eq","Não informado",52,2002,2
"378","cod_abaste_agua_domic_fam_eq","Não informado",52,2003,2064
"379","cod_abaste_agua_domic_fam_eq","Não informado",52,2004,3091
"380","cod_abaste_agua_domic_fam_eq","Não informado",52,2005,6341
"381","cod_abaste_agua_domic_fam_eq","Não informado",52,2006,26025
"382","cod_abaste_agua_domic_fam_eq","Não informado",52,2007,8445
"383","cod_abaste_agua_domic_fam_eq","Não informado",52,2008,262
"384","cod_abaste_agua_domic_fam_eq","Não informado",52,2009,138
"385","cod_abaste_agua_domic_fam_eq","Não informado",52,2010,84
"386","cod_abaste_agua_domic_fam_eq","Não informado",52,2011,9037
"387","cod_abaste_agua_domic_fam_eq","Não informado",52,2012,15023
"388","cod_abaste_agua_domic_fam_eq","Não informado",52,2013,14486
"389","cod_abaste_agua_domic_fam_eq","Não informado",52,2014,13472
"390","cod_abaste_agua_domic_fam_eq","Não informado",52,2015,8455
"391","cod_abaste_agua_domic_fam_eq","Não informado",53,2001,21223
"392","cod_abaste_agua_domic_fam_eq","Não informado",53,2003,155
"393","cod_abaste_agua_domic_fam_eq","Não informado",53,2004,1
"394","cod_abaste_agua_domic_fam_eq","Não informado",53,2006,8407
"395","cod_abaste_agua_domic_fam_eq","Não informado",53,2007,711
"396","cod_abaste_agua_domic_fam_eq","Não informado",53,2008,5
"397","cod_abaste_agua_domic_fam_eq","Não informado",53,2010,1
"398","cod_abaste_agua_domic_fam_eq","Não informado",53,2011,265
"399","cod_abaste_agua_domic_fam_eq","Não informado",53,2012,2386
"400","cod_abaste_agua_domic_fam_eq","Não informado",53,2013,1047
